0;1;2
7.857858;0.5183974;-0.7320025
7.882883;0.53733224;-0.7236708
7.907908;0.5555422;-0.71456844
7.932933;0.5729837;-0.70467687
7.957958;0.58961517;-0.69398385
7.982983;0.6054029;-0.68248504
8.008008;0.6203165;-0.67018265
8.033033;0.6343327;-0.6570902
8.058058;0.64743364;-0.6432215
8.083083;0.6596102;-0.6286014
8.1081085;0.6708616;-0.61326164
8.133133;0.6811899;-0.59723747
8.158158;0.6906086;-0.58056813
8.183183;0.6991372;-0.56330305
8.208208;0.7067998;-0.54548395
8.233233;0.7136273;-0.5271624
8.258258;0.7196584;-0.50838864
8.283283;0.72493005;-0.4892125
8.308309;0.72948664;-0.4696839
8.333333;0.7333743;-0.44985119
8.358358;0.7366407;-0.42976007
8.383383;0.7393339;-0.40945548
8.408408;0.7415063;-0.38897595
8.433434;0.7432022;-0.3683609
8.458458;0.7444707;-0.34764534
8.483483;0.74535775;-0.326858
8.508509;0.74590796;-0.30602795
8.533533;0.7461632;-0.28518003
8.558558;0.74616313;-0.26433375
8.583583;0.7459447;-0.2435087
8.608608;0.7455419;-0.22271782
8.633634;0.74498636;-0.20197518
8.658658;0.74430615;-0.18129137
8.683683;0.7435268;-0.16067283
8.708709;0.7426712;-0.14012598
8.733733;0.7417582;-0.119656496
8.758759;0.74080485;-0.09926561
8.783783;0.73982483;-0.078956805
8.808809;0.73883086;-0.058728475
8.833835;0.7378297;-0.038583357
8.858859;0.73682785;-0.018521119
8.883884;0.73582894;0.0014602131
8.90891;0.73483366;0.02136049
8.933934;0.73384076;0.041179385
8.95896;0.73284614;0.06091847
8.983984;0.7318462;0.08057586
9.009009;0.7308297;0.10015199
9.034035;0.7297871;0.11964417
9.059059;0.7287088;0.13904886
9.0840845;0.72757745;0.15836339
9.10911;0.7263782;0.17758182
9.134134;0.72509295;0.1966967
9.15916;0.7237021;0.21570125
9.184184;0.7221834;0.23458387
9.209209;0.72051615;0.2533351
9.234235;0.7186754;0.27194068
9.259259;0.7166363;0.2903848
9.284285;0.7143737;0.3086533
9.30931;0.71185976;0.32672542
9.334334;0.709068;0.3445808
9.35936;0.705971;0.362199
9.384384;0.70254177;0.3795554
9.4094095;0.69875324;0.39662626
9.434435;0.6945798;0.41338578
9.459459;0.68999666;0.4298064
9.484485;0.68498015;0.44586235
9.50951;0.67950886;0.4615254
9.534534;0.6735635;0.47676757
9.55956;0.6671267;0.49156314
9.584584;0.6601832;0.5058851
9.60961;0.652723;0.5197094
9.634635;0.64473754;0.5330124
9.659659;0.63622224;0.5457725
9.684685;0.627176;0.5579715
9.70971;0.6176003;0.56959313
9.734735;0.60750186;0.58062404
9.75976;0.59688795;0.5910532
9.784784;0.5857731;0.6008749
9.80981;0.5741715;0.6100861
9.834835;0.5621017;0.6186863
9.859859;0.5495845;0.62668073
9.884885;0.5366426;0.6340745
9.90991;0.523301;0.6408787
9.934935;0.50958544;0.6471067
9.95996;0.49552312;0.65277445
9.984984;0.48114264;0.6579006
10.01001;0.46647075;0.66250634
10.035035;0.4515359;0.6666133
10.06006;0.4363669;0.6702467
10.085085;0.42098933;0.6734318
10.11011;0.4054301;0.67619604
10.135135;0.38971478;0.67856485
10.16016;0.37386623;0.68056625
10.1851845;0.35790798;0.68222743
10.21021;0.3418584;0.68357515
10.235235;0.3257393;0.68463653
10.26026;0.30956823;0.68543726
10.285285;0.29336014;0.6860025
10.31031;0.27713007;0.6863564
10.335335;0.26089245;0.6865223
10.36036;0.24465632;0.68652177
